%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1563269747009260602,3229,1563269746998919010,/gps,0,1,50.9389418333,-1.47089133333,16.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269747199363329,3230,1563269747189337968,/gps,0,1,50.9389426667,-1.47089283333,16.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269747460782695,3231,1563269747455262899,/gps,0,1,50.9389438333,-1.4708945,16.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269747612001562,3232,1563269747605853080,/gps,0,1,50.9389448333,-1.4708965,16.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269747858527146,3233,1563269747847894906,/gps,0,1,50.9389461667,-1.470899,16.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269748046158168,3234,1563269748032311916,/gps,0,1,50.9389476667,-1.47090216667,16.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269748249190415,3235,1563269748240680932,/gps,0,1,50.9389495,-1.470906,16.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269748455686722,3236,1563269748449069976,/gps,0,1,50.9389518333,-1.47091066667,16.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269748635958920,3237,1563269748628536939,/gps,0,1,50.9389541667,-1.47091633333,16.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269748819177559,3238,1563269748815157890,/gps,0,1,50.938957,-1.47092266667,16.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269749049207511,3239,1563269749046521902,/gps,0,1,50.93896,-1.4709295,16.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269749278482332,3240,1563269749266949892,/gps,0,1,50.9389633333,-1.47093716667,16.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269749658138006,3241,1563269749651426076,/gps,0,1,50.9389708333,-1.470954,16.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269749850911324,3242,1563269749836769104,/gps,0,1,50.9389746667,-1.47096316667,16.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269750264446422,3243,1563269750256469964,/gps,0,1,50.9389826667,-1.4709815,16.4,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269750453184780,3244,1563269750434988975,/gps,0,1,50.9389868333,-1.47099083333,16.4,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269750859373950,3245,1563269750856498003,/gps,0,1,50.938995,-1.47101,16.4,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269751030862376,3246,1563269751026076078,/gps,0,1,50.9389991667,-1.47101966667,16.4,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269751208697943,3247,1563269751206192016,/gps,0,1,50.9390033333,-1.47102933333,16.4,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
